#id,Text,Label,STRENGTHS,WEAKNESSES,OPPORTUNITIES,THREATS
1,Long-standing presence in industry coupled with part of TVS group,1,1,0,0,0
2,"The Company, being in the business of manufacturing of auto components, is poised to benefit from the synergies and goodwill offered by the group and its long-standing presence in the industry. As informed, nearly 75% of the revenue is from the group of companies. The Company also has other major customers like Honeywell Turbo Technologies (part of Honeywell International Inc.) and Cummins Turbo Technologies Limited India, however majority of sales is still from the group. Long term business association with the group, which is one of the leading business houses, supports he the business risk profile of the Company. Through its association with the group companies, the Company benefits in multiple ways like steady revenue visibility, moving up the value chain, bargaining power, global visibility amongst others. It also helps the Company to mitigate debtor?s realization risk and helps in scouting prospective customers. Though independently managed, ABI benefits from its long-standing business relationship with group of Companies and its long-standing presence in the industry.",1,1,0,0,0
3,"The debt equity ratio has been low during the review period. The same stood at 0.21 times as on 31st March 2019 on the back of additional term loans and short term working capital loans undertaken from bank. The Company undertook significant capital expenditure mainly in the form of land and building, and plant and machinery in the last three years for setting up a plant to manufacture value added SS castings. The capex done so far has mainly been funded through internal accruals. Moreover, for the ongoing capex of about INR 75.00 Crore in pipeline, the Company is planning to fund the same through internal accruals and loans from banks. Given that the internal cash accruals of the Company are about INR 87 Crore in FY 2019, the same is likely to have little impact on the gearing levels of the Company. Low dependency on external debt has also resulted in adequate interest coverage ratio for the review period. Low gearing gives financial flexibility to the Company to raise additional funds for future capex plans.",1,1,0,0,0
4,Efficient working capital management coupled with adequate liquidity,1,1,0,0,0
5,"The Company?s working capital cycle remained moderate between 60-90 days during the review period. The Company managed its working capital requirements efficiently through payables, internal accruals which led to low reliance on external debt. In FY 2019, there is a marginal decline in working capital cycle on the back of decline in collection, inventory and at the same time decline in payable period. The net cash accruals of the Company have also been adequate at INR 878,395 thousand against short term debt obligations of 692,309 thousand in FY 2019. Further, with improved working capital cycle, the Company?s liquidity profile improved during the review period on account of reduction in short term borrowings which in-turn led to improvement in current ratio.",1,1,0,0,0
25,Established player in e-Governance solution with proven track record of order execution,1,1,0,0,0
26,"The Company is in the business of providing e-governance software and solutions since 1998 and has established its presence in B2G market through thorough insights in implementing and institutionalizing e-Governance in the Indian context. This is evident from the various proven and sustained e-Governance solutions implemented by the Company, of which few of the major ones are highlighted below:",1,1,0,0,0
27,Developing web portal for setting up a centralized reservation system for Maharashtra Tourism Development Corporation (MTDC),1,1,0,0,0
28,Implementation of MAINet? solution across all 231 ULBs in the state of Maharashtra,1,1,0,0,0
29,Accrual based double entry accounting for Cantonment Board (Defense),1,1,0,0,0
30,"The Company has executed these projects on standalone basis as well as in consortium with IT giants like Siemens Limited, HCL Technologies Limited, amongst others. As informed by the management, the Company has pending order book position of INR 215 crore as on September 2019. Also, it has order worth INR 15 crore in hand for which Company won the tender, but finalization of contract terms is pending.",1,1,0,0,0
31,"System Integrator for supply, implementation and support of 5D digital project management platform for Maharashtra State Road Development Corporation Limited worth ~INR 122 crore",1,1,0,0,0
32,Implementation of integrated ERP solutions for Thane Smart City Project worth ~INR 14 crore,1,1,0,0,0
33,Complete e-governance and ERP scope for Aligarh Smart City Project worth ~INR 14 crore,1,1,0,0,0
34,Complete e-governance and ERP scope for Dehradun Smart City Project worth ~INR 16 crore,1,1,0,0,0
35,SAP Implementation for Orissa Power Utility worth ~INR 15 crore,1,1,0,0,0
36,Implementation and management of BhawanSewa Portal & associated activities under building plan management in ULBs of Chhattisgarh for State Urban Development Agency worth ~INR10 crore,1,1,0,0,0
37,State wide implementation and support of e-nagarpalika solution across Madhya Pradesh worth ~INR 14 crore.,1,1,0,0,0
38,"Thus, the presence of the Company in e-governance segment under IT industry for around two decades together with proven track record of successful implementation of the projects provides revenue visibility to the Company.",1,1,0,0,0
39,Strong financial profile marked by unleveraged capital structure and adequate liquidity position,1,1,0,0,0
40,"The financial profile of the Company remained strong backed by its unleveraged capital structure and healthy interest coverage ratio. The Company was debt free coupled with its adequate liquidity position. Its adequate liquidity position was backed by cash balance which stood at INR 348,843 thousand (including fixed deposits and margin money deposits) as on 31st March 2019. This coupled with surplus parked in mutual funds amounting INR 417,406 thousand as against total payables of INR 9,143 thousand also supports the liquidity of the Company.",1,1,0,0,0
72,Operational support and synergy derived from the Agility Group enables it to provide end-to-end freight solutions across industries,1,1,0,0,0
73,"Agility offers air and ocean freight forwarding, warehousing & distribution and specialized services in project, pharma and chemical logistics amongst others. The Company manages its logistic activities through leased warehouses, owned fleet of vehicles and third-party transporters.",1,1,0,0,0
74,"Agility Logistics Private Limited is a part of the multinational ?Agility Group?. Established in 1979, the Agility Group is based in Kuwait with ~500 offices spread across ~100 countries. It is an integrated logistics provider with over 22,000 employees. The Group is organized into two business segments: the logistic and related services segment provides logistics offering to its clients, including freight forwarding, transportation, contract logistics, project logistics and fairs and events logistics, and the Infrastructure segment provides other services, which include industrial real estate airport and airplane ground handling and cleaning services, customs consulting, private equity and waste recycling.",1,1,0,0,0
75,"Agility operates under the logistic vertical of the Group and provides customized solutions in freight management. With the help of Group companies, the Company operates as an integrated freight forwarding service provider. Also, the Company is benefitted from the wide established network of the Group within the country with presence in nearly all the major port (10 ports) in India.",1,1,0,0,0
